gene_name number_of_transposon_per_gene number_of_read_per_gene
YDL009C 20 379
APC11 12 403
YDL007C-A 10 286
RPT2 2 1
PTC1 1 0
MED2 52 1388
ATP16 0 0
MCD1 12 170
NHP10 32 964
RMD1 127 8485
NTH1 191 12400
YRB1 3 2
RCR2 75 3791
YDR003W-A 13 282
RAD57 60 2354
MAF1 17 898
SOK1 91 3039
TRP1 66 2629
YDR008C 58 2920
GAL3 119 6828
YDR010C 119 11470
SNQ2 164 9546
RPL4B 16 1021
PSF1 1 0
RAD61 56 2486
HED1 14 415
YDR015C 5 38
DAD1 1 0
KCS1 25 536
YDR018C 90 3116
GCV1 49 2187
DAS2 49 3984
FAL1 2 1
ATG31 2 1
SES1 3 23
FYV1 25 280
RPS11A 5 21
NSI1 39 1677
VPS54 7 85
REG1 17 519
YDR029W 12 423
RAD28 46 2482
MIX14 5 10
PST2 34 697
MRH1 36 1705
LYS14 39 1134
YDR034C-A 7 6
YDR034W-B 11 57
ARO3 26 1034
EHD3 40 1412
KRS1 5 7
ENA5 54 589
ENA2 20 28
ENA1 24 387
RSM10 3 8
YDR042C 8 66
NRG1 15 681
HEM13 0 0
RPC11 0 0
BAP3 25 789
HEM12 2 1
YDR048C 28 1339
VMS1 8 43
TPI1 0 0
DET1 27 1521
DBF4 4 7
YDR053W 0 0
CDC34 5 6
PST1 30 1391
YDR056C 29 299
YOS9 25 858
TGL2 14 139
UBC5 15 1052
MAK21 12 126
YDR061W 29 711
LCB2 2 1
AIM7 8 100
RPS13 0 0
RRG1 3 2
RTR2 20 1653
OCA6 20 1059
DOS2 8 103
DOA4 5 79
FMP16 0 0
PAA1 2 1
IPT1 43 1094
SNF11 12 293
TPS2 11 1390
PPH3 18 1360
RAD55 29 856
SED1 13 308
SHU2 15 241
PET100 3 45
TFB5 2 3
VPS41 5 4
PDC2 3 2
STN1 11 386
RRP8 7 32
TVP23 10 239
AFR1 22 797
SSS1 0 0
RRP1 0 0
SLU7 6 160
YDR089W 65 2632
YDR090C 10 166
RLI1 1 0
UBC13 3 99
DNF2 194 10828
YDR094W 86 5525
YDR095C 39 888
GIS1 27 734
MSH6 43 965
GRX3 9 105
BMH2 38 445
TVP15 20 405
ARX1 18 728
YDR102C 17 560
STE5 24 448
SPO71 49 2839
TMS1 23 623
ARP10 22 519
TMN2 25 827
TRS85 14 693
YDR109C 26 754
FOB1 43 1995
ALT2 43 1436
IRC2 18 380
PDS1 3 6
YDR114C 12 286
YDR115W 1 0
MRPL1 15 163
TMA64 13 125
APC4 26 318
YDR118W-A 5 55
VBA4 51 1943
COX26 11 292
TRM1 23 438
DPB4 7 32
KIN1 20 1088
INO2 2 1
YDR124W 24 685
ECM18 21 316
SWF1 15 268
ARO1 24 268
MTC5 60 2494
SAC6 3 2
FIN1 7 333
YDR131C 34 915
YDR132C 15 317
YDR133C 3 3
YCF1 45 1724
VPS61 29 1996
RGP1 4 3
HPR1 19 741
RUB1 1 0
MTQ2 0 0
DOP1 8 88
PEX7 18 835
SAN1 24 668
MKC7 22 846
TAF12 1 0
SWI5 30 557
EKI1 27 1326
KGD2 5 160
YDR149C 5 18
NUM1 27 802
CTH1 17 511
GIR2 18 455
ENT5 9 162
YDR154C 4 13
CPR1 13 666
RPA14 14 358
YDR157W 35 1161
HOM2 7 23
SAC3 24 880
SSY1 0 0
YDR161W 0 0
NBP2 1 0
CWC15 11 376
SEC1 5 27
TRM82 21 1353
SEC5 21 370
TAF10 3 4
CDC37 4 5
STB3 13 321
YDR169C-A 4 86
SEC7 11 77
HSP42 10 104
SUP35 3 2
ARG82 3 2
HMO1 8 37
RSM24 3 2
NGG1 9 137
UBC1 3 23
SDH4 6 77
CSN9 6 90
YDR179W-A 6 306
SCC2 12 18
SAS4 21 631
CDC1 4 3
YDR182W-A 5 242
PLP1 15 473
YDR183C-A 9 297
ATC1 13 476
UPS3 11 106
YDR186C 18 99
YDR187C 8 171
CCT6 5 5
SLY1 2 2
RVB1 4 3
HST4 20 825
NUP42 18 737
YDR193W 7 140
MSS116 6 9
YDR194W-A 0 0
REF2 9 198
CAB5 2 1
CBS2 0 0
RKM2 19 526
YDR199W 9 143
VPS64 24 913
SPC19 1 0
RAV2 9 93
YDR203W 1 0
COQ4 6 6
MSC2 2 1
EBS1 37 1374
UME6 22 433
MSS4 16 449
YDR209C 4 147
YDR210W 1 0
GCD6 3 3
TCP1 3 13
UPC2 53 3472
AHA1 28 1503
YDR215C 65 2795
ADR1 34 1672
RAD9 58 2540
SPR28 23 339
MFB1 7 118
YDR220C 19 107
GTB1 82 4926
YDR222W 14 357
CRF1 18 463
HTB1 0 0
HTA1 6 96
ADK1 3 35
SIR4 40 1210
PCF11 3 45
IVY1 22 322
YDR230W 17 1075
COX20 17 1013
HEM1 2 1
RTN1 3 106
LYS4 44 1358
PRP42 1 0
FMN1 2 2
MRPL7 0 0
SEC26 7 7
YDR239C 42 1959
SNU56 8 69
BUD26 12 502
AMD2 33 1013
PRP28 2 1
PEX5 25 251
